concept_id,concept_name
4011211,Salmonella Yaba
4011212,Salmonella Adabraka
4011213,Oedemagena tarandi
4011214,Salmonella Sedgwick
4011215,"Salmonella II 56:l,z28:-"
4011216,Serratia fonticola
4011217,Mycoplasma mycoides ss. mycoides
4011218,Mycoplasma gallinarum
4011219,Mycoplasma cavipharyngis
4011220,Mycoplasma anseris
4011221,Neisseria macacae
4011222,Oligella
4011223,Vibrio cholerae serotype Inaba
4011224,Human rhinovirus 45
4011225,Human rhinovirus 62
4011226,Human rhinovirus 101
4011227,Genus Lyssavirus
4011228,Kamese virus
4011229,Genus Dependovirus
4011230,Cercopithecine herpesvirus 1
4011231,Equid herpesvirus 2
4011232,Frog virus 5
4011233,Clitocybe clavipes
4011234,Coprinus
4011235,Conocybe
4011236,Sporobolomyces
4011239,Cryptococcus uniguttulatus
4011240,Epidermophyton
4011241,Microsporum gypseum
4011242,Eimeria koganae
4011243,Sarcocystis muris
4011244,Babesia felis
4011245,Urceolaria
4011246,Myxosoma cerebralis
4011247,Bourgelatia diducta
4011248,Nematodirus odocoilei
4011249,Pharyngodon
4011250,Physaloptera tumefasciens
4011251,Onchocerca armillata
4011299,Neoaplectana
4011300,Syngnathus californiensis
4011338,Senecio vulgaris
4011368,Platynosomum concinnum
4011369,Drepanidotaenia
4011370,Raillietina magninumida
4011371,Lutzomyia umbratilis
4011372,Hippobosca equina
4011373,Pseudohazis hera
4011374,Rhipicephalus sinus
4011375,Psorergates simplex
4011376,Gujarati cattle
4011377,Hackney horse
4011378,Borzoi dog
4011379,Rumpless chicken
4011380,Pilgrim goose
4011381,Hume's bar-tailed pheasant
4011382,Crimson-breasted barbet
4011386,Lincoln's sparrow
4011481,Enterococcus raffinosus
4011482,Hirudo medicinalis
4011483,Haemophilus influenzae type a
4011484,Haemophilus influenzae type c
4011485,Legionella brunensis
4011486,Legionella fairfieldensis
4011487,Legionella moravica
4011488,Legionella pneumophila ss. fraseri
4011489,Legionella pneumophila ss. pneumophila
4011490,Legionella quinlivanii
4011491,Buthus
4011492,Legionella tucsonensis
4011493,Legionella pneumophila serogroup 9
4011494,Mycobacterium fortuitum complex
4011495,Neisseria meningitidis serogroup B
4011497,Methylobacterium rhodesianum
4011498,Staphylococcus capitis subspecies urealyticus
4011558,Enterocytozoon bieneusi
4011681,Bacillus pulvifaciens
4011682,Clostridium coccoides
4011683,Escherichia coli
4011684,Providencia
4011685,Salmonella Goma
4011686,Salmonella Hidalgo
4011687,Salmonella Benfica
4011688,Salmonella Midway
4011689,Salmonella Lindern
4011690,Salmonella Orientalis
4011691,Salmonella II 17:b:z6
4011693,Moraxella ovis
4011694,Mycoplasma sualvi
4011695,Peptococcus niger
4011696,Peptostreptococcus barnesae
4011697,Ruminococcus lactaris
4011699,Mono Lake virus
4011700,Northway virus
4011701,Sororoca virus
4011702,Juan Diaz virus
4011703,Nairobi sheep disease virus
4011704,Bovine immunodeficiency virus
4011705,RT parvovirus
4011706,Ateline herpesvirus 2
4011707,Podovirus group
4011708,Paracoccidioides
4011709,Tetramitus
4011710,Paradinium
4011711,Tetractinomyxon legeri
4011712,Oesophagostomum
4011714,Bhalfilaria
4011715,Physocephalus cristatus
4011716,Stephanofilaria zaheeri
4011717,Meningonema
4011718,Taenia regis
4011719,Cotugnia digonopora
4011721,Melophagus ovinus
4011722,Cephenemyia pratti
4011836,Sarcophaga fusicauda
4011838,Rhipicephalus pulchellus
4011839,Dermatophagoides farinae
4011840,Latrodectus
4011841,Genus Lycosa
4011842,Lymnaea swinhoei
4011843,Romnelet sheep
4011844,Dekalb hybrid pig line 63
4011866,Actinobacillus muris
4011867,Actinobacillus porcinus
4011868,Actinomadura carminata
4011869,Actinomadura cremea ss cremea
4011870,Actinomadura echinospora
4011872,Actinomadura longicatena
4011873,Actinomadura nitritigenes
4011991,Actinomadura rubrobrunea
4011992,Actinomyces georgiae
4011993,Anaeroplasma varium
4011994,Arcanobacterium phocae
4011995,Arthrobacter astrocyaneus
4011996,Glutamicibacter mysorens
4011998,Arthrobacter ramosus
4011999,Bacillus atrophaeus
4012000,Bacillus carboniphilus
4012001,Bacillus clarkii
4012002,Bacillus gibsonii
4012005,Bacillus simplex
4012007,Bacillus thermocatenulatus
4012008,Bacillus thermocloacae
4012009,Bacillus vedderi
4012010,Bacillus oleronius
4012011,Bifidobacterium pseudolongum ss globosum
4012012,Borrelia lusitaniae
4012014,Borrelia tanukii
4012015,Moorella glycerini
4012016,Oxobacter pfennigii
4012017,Tsukamurella tyrosinosolvens
4012018,Desulfosporosinus orientis
4012019,Campylobacter jejuni ss doylei
4012020,Capnocytophaga granulosa
4012021,DF-3 Group
4012022,Helicobacter salomonis
4012023,Chryseobacterium gleum
4012024,Chryseobacterium indologenes
4012026,Pedobacter piscium
4012027,Pedobacter saltans
4012028,Myroides odoratimimus
4012029,Myroides odoratus
4012030,Planococcus citreus
4012031,Clostridium argentiense
4012032,Clostridium celerecrescens
4012033,Clostridium cellulofermentans
4012034,Clostridium cellulosi
4012035,Clostridium fimetarium
4012095,Acyrtops beryllinus
4012152,Clostridium formicaceticum
4012153,Maledivibacter halophilus
4012154,Clostridium intestinale
4012155,Clostridium josui
4012156,Clostridium proteoclasticum
4012157,Clostridium thermobutyricum
4012158,Clostridium thermopalmarium
4012159,Clostridium ultunense
4012160,Clostridium xylanolyticum
4012161,Corynebacterium afermentans
4012162,Corynebacterium propinquum
4012163,Corynebacterium urealyticum
4012164,Desulfotomaculum geothermicum
4012165,Weissella confusa
4012166,Weissella hellenica
4012167,Weissella minor
4012318,Synadenium grantii
4012327,Sebastes atrovirens
4012471,Physostigma mesoponticum
4012696,Mycteroperca jordani
4012754,Eublepharis macularius
4012755,Chamaeleo senegalensis
4012756,Sauromalus
4012757,Varanus bengalensis
4012758,Copperhead of Australia
4012759,Pseudechis papuanis
4012760,Dendroaspis jamesoni
4012761,Myliobatis freminvillei
4012762,Argentina sialis
4012764,Ptychocheilus oregonensis
4012765,Cosmocampus profundus
4012766,Macrognathus tectus
4012767,Morone saxatilis
4012768,Pomacentrus partitus
4012769,Acanthurus chirurgus
4012770,Tetrapturus angustirostris
4012771,Sebastes crameri
4012772,Actaea pachypoda
4012773,Chelidonium majus
4012774,Leucotho?
4012775,Brassica napus
4012776,Brassica nigra
4012777,Cicuta virosa
4012778,Myoporum tetrandum
4012779,Lycopersicon
4012780,Solanum malacoxylon
4012781,Ipomoea calobra
4012782,Echinopogon ovatus
4012783,Hyacinthus
4012784,Nolina
4012857,Eptatretus stouti
4012878,Staphylococcus schleiferi subsp. schleiferi
4012879,Streptococcus pneumoniae Danish serotype 9N
4012881,Saccharomonospora glauca
4012882,Saccharomonospora viridis
4012883,Bartonella henselae
4012920,Helenium
4012928,Picatharte
4012938,Cotoneaster horizontalis
4012984,Salmonella Bournemouth
4012985,Penicillium roqueforti
4012986,Kingdom Protozoa macrogametocyte
4012987,Kingdom Protozoa microgametocyte
4012988,Kingdom Protozoa oocyst
4012989,Kingdom Protozoa ookinete
4012990,Kingdom Protozoa developing schizont
4012991,Cyclospora cayetanensis
4012993,Componotus
4012994,Carpoglyphus
4012995,Carica
4012996,Populus
4012997,Populus alba
4012998,Capsicum annuum
4012999,Borago
4013000,Ocimum basilicum
4013056,Trichophyton verrucosum var. album
4013182,Camelus dromadarius
4013183,Scarlet ibis
4013184,Agelastes niger
4013185,Jaeger
4013186,Amazona viridigenalis
4013187,Coal tit
4013188,Texas cliff frog
4013189,Rana clamitans
4013190,Raja ackleyi
4013191,Epinephelus adscensionis
4013192,Enneacanthus chaetodon
4013193,Lutjanus mahogoni
4013194,Cynoscion xanthulus
4013195,Sphyraena guachancho
4013196,Quietula y-cauda
4013197,Risor ruber
4013198,Epinnula orientalis
4013199,Sebastes nebulosus
4013200,Betula lutea
4013201,Menziesia
4013202,Adenia digitata
4013204,Trifolium
4013205,Tribulus cistoides
4013206,Melia
4013207,Datura suaveolens
4013208,Lonchocarpus floribundus
4013209,Crinum longiflorum
4013409,Yersinia enterocolitica serogroup O:3
4013410,Salmonella Adelaide
4013411,Enterococcus saccharolyticus
4013412,Haemophilus influenzae type b
4013414,Legionella pneumophila serogroup 1
4013415,Legionella pneumophila serogroup 8
4013416,Mycobacterium celatum
4013418,Neisseria meningitidis serogroup A
4013419,Neisseria meningitidis serogroup C
4013420,Methylobacterium fujisawaense
4013421,Methylobacterium radiotolerans
4013422,Staphylococcus pasteuri
4013423,Saccharomonospora azurea
4013427,Prospect Hill virus
4013428,Kingdom Protozoa gametocyte
4013430,Kingdom Protozoa epimastigote
4013431,Kingdom Protozoa trypomastigote
4013432,Kingdom Protozoa trophozoite
4013433,Kingdom Protozoa cyst
4013434,Kingdom Protozoa tissue schizont
4013435,Septata intestinalis
4013437,Acarus hordei
4013438,Carica papaya
4013439,Populus deltoides
4013440,Camptotheca acuminata
4013441,Mentha
4013442,Mentha spicata
4013443,Mentha cardiaca
4013444,Mentha piperita
4013445,Teucrium
4013641,Staphylococcus sciuri carnaticus
4013642,Streptococcus equi subsp. equi
4013644,Streptococcus parauberis
4013645,Feline calicivirus
4013646,Ureaplasma canigenitalium
4013647,Veillonella parvula ss atypica
4013648,Saccharothrix
4013649,Cytophaga-like bacteria
4013650,Actinobaculum suis
4013651,Propioniferax innocus
4013652,Microbacterium arabinogalactanolyticum
4013653,Rubrobacter
4013654,Nocardioides albus
4013655,Nocardioides jensenii
4013656,Aeromicrobium fastidiosum
4013657,Paenibacillus apiarius
4013658,Paenibacillus durus
4013659,Paenibacillus curdlanolyticus
4013660,Paenibacillus lautus
4013661,Paenibacillus macquariensis
4013728,Cortinarius violaceus
4013740,Borrelia dipodilli
4013741,Yersinia enterocolitica serogroup O:5
4013742,Haemophilus influenzae type f
4013743,Legionella geestiana
4013744,Legionella nautarum
4013745,Legionella pneumophila ss. pascullei
4013746,Legionella shakespearei
4013772,Brevibacillus formosus
4013773,Brevibacillus reuszeri
4013774,Aneurinibacillus
4013776,Prevotella brevis
4013777,Prevotella dentalis
4013780,Prevotella tannerae
4013781,Prevotella veroralis
4013782,Porphyromonas
4013783,Porphyromonas cangingivalis
4013784,Porphyromonas catoniae
4013785,Porphyromonas crevioricanis
4013786,Acinetobacter genospecies 17
4013787,Actinobacillus minor
4013789,Actinomadura aurantiaca
4013790,Actinomadura citrea
4013791,Actinomadura rugatobispora
4013792,Actinomadura vinacea
4013793,Actinomyces neuii subspecies anitratus
4013794,Actinomyces neuii subspecies neuii
4013795,Paenarthrobacter aurescens
4013796,Pseudoglutamicibacter cumminsii
4013797,Glutamicibacter nicotianae
4013798,Paenarthrobacter nicotinovorans
4013799,Pseudarthrobacter oxydans
4013800,Paenarthrobacter ureafaciens
4013802,Bacillus clausii
4013803,Bacillus flexus
4013806,Bacillus methanolicus
4013807,Bacillus mojavensis
4013808,Bacillus pseudofirmus
4013809,Bifidobacterium inopinatum
4013810,Bifidobacterium saeculare
4013811,Bordetella trematum
4013812,Borrelia miyamotoi
4013813,Borrelia valaisiana
4013855,Legionella worsleiensis
4013856,Legionella pneumophila serogroup 3
4013857,Legionella pneumophila serogroup 5
4013858,Leptospira interrogans var. bufonis
4013859,Leptospira interrogans var. ranarum
4013861,Neisseria meningitidis serogroup Y
4013862,Neisseria meningitidis serogroup W
4013863,Methylobacterium rhodinum
4013864,Streptococcus pneumoniae Danish serotype 14
4013865,Streptococcus pneumoniae Danish serotype 7F
4013866,"Coxiella burnetii, phase I"
4013867,Bartonella vinsonii
4013868,Chlamydophila pneumoniae
4013871,Simian-Human immunodeficiency virus
4013872,Human herpesvirus 6
4013873,Kingdom Protozoa merozoite
4013874,Kingdom Protozoa sporozoite
4013875,Kingdom Protozoa hypnozoite
4013876,Kingdom Protozoa promastigote
4013878,Kingdom Protozoa mature schizont
4013879,Pfiesteria
4013880,Pfiesteria piscicida
4013881,Alexandrium
4013884,Paederus crebinpunctatis
4013885,Carpoglyphus passularum
4013887,Piper nigrum
4013888,Citrus limon
4013890,Borago officinalis
4013891,Symphytum
4013893,Artemisia annua
4013927,Moorella thermoautotrophica
4013928,Syntrophospora bryantii
4013929,Brachyspira hyodysenteriae
4013930,Brachyspira pilosicoli
4013933,Helicobacter bilis
4013934,Helicobacter canis
4013935,Helicobacter cholecystus
4013937,Helicobacter pametenisis
4013938,Helicobacter trogontum
4013939,Chryseobacterium indoltheticum
4013940,Pedobacter africanus
4013941,Planococcus kocurii
4013942,Clostridium algidicarnis
4013943,Clostridium chartatabidum
4013945,Clostridium collagenovorans
4013946,Clostridium estertheticum
4013947,Clostridium herbivorans
4013948,Clostridium homopropionicum
4013949,Clostridium ljungdahlii
4013950,Clostridium myombei
4013952,Clostridium termitidis
4013953,Clostridium tetanomorphum
4013954,Clostridium viride
4013955,Desulfotomaculum aeronauticum
4013956,Desulfotomaculum australicum
4013957,Desulfotomaculum kuznetsovii
4013958,Culex nigripalpus
4013959,Weissella kandleri
4013960,Weissella paramesenteroides
4013961,Gordonia sputi
4014017,Platynosomum ariestis
4014047,Yersinia intermedia
4014080,Oligella ureolytica
4014178,Coccobacilli
4014179,Pyogenic bacterium
4014180,Borrelia merionesi
4014181,Campylobacter upsaliensis
4014182,Corynebacterium ulcerans
4014183,"EHEC, serotype O157:H7"
4014184,Yersinia enterocolitica serogroup O:8
4014185,Yersinia enterocolitica serogroup O:9
4014186,Yersinia bercovieri
4014187,Yersinia mollaretii
4014188,Enterococcus pseudoavium
4014189,Haemophilus influenzae type d
4014190,Haemophilus influenzae type e
4014191,Legionella adelaidensis
4014192,Legionella gratiana
4014193,Legionella lansingensis
4014194,Legionella londiniensis
4014195,Legionella pneumophila serogroup 2
4014196,Legionella pneumophila serogroup 4
4014197,Legionella pneumophila serogroup 6
4014198,Legionella pneumophila serogroup 7
4014200,Mycobacterium genavense
4014201,Methylobacterium mesophilicum
4014240,Salmonella Aqua
4014242,Acinetobacter genospecies 16
4014243,Actinomadura fibrosa
4014244,Actinomadura glomerata
4014245,Syphacia thompsoni
4014246,Actinomadura livida
4014247,Actinomadura luteofluorescens
4014248,Actinomadura malachitica
4014249,Actinomadura verrucospora
4014250,Actinomyces europaeus
4014251,Actinomyces gerencseriae
4014252,Actinomyces graevenitzii
4014253,Salmonella Othmarschen
4014254,Actinomyces radingae
4014256,Anaerovibrio glycerini
4014257,Arthrobacter agilis
4014258,Arthrobacter crystallopoietes
4014259,Paenarthrobacter histidinolovorans
4014260,Pseudarthrobacter polychromogenes
4014261,Arthrobacter viscosus
4014262,Bacillus chittonlyticus
4014263,Bacillus cohnii
4014264,Bacillus dipsosauri
4014266,Bacillus halmapalus
4014268,Bacillus horikoshii
4014269,Bacillus kaustophilus
4014270,Pullulanibacillus naganoensis
4014271,Bacillus psychrosaccharolyticus
4014272,Bacillus salexigens
4014273,Bacillus thermoamylovorans
4014274,Bacillus vallismortis
4014275,Bifidobacterium denticolens
4014276,Bordetella hinzii
4014277,Borrelia turdi
4014278,Tsukamurella paurometabola
4014322,Methylobacterium zatmanii
4014323,Staphylococcus cohnii subspecies urealyticus
4014324,Staphylococcus lugdunensis
4014325,Streptococcus pneumoniae Danish serotype 3
4014326,Saccharomonospora
4014327,Saccharomonospora cyanea
4014328,"Coxiella burnetii, phase II"
4014330,Bartonella quintana
4014331,Bartonella elizabethae
4014333,Zonabris
4014335,"Aspergillus fumigatus, serotype 1"
4014336,"Aspergillus fumigatus, serotype 6"
4014339,Kingdom Protozoa gamete
4014340,Kingdom Protozoa zygote
4014341,Kingdom Protozoa meront
4014342,Kingdom Protozoa amastigote
4014343,Nitzschia
4014344,Cyclospora
4014349,Solenopsis invicta
4014350,Componotus pennsylvanicus
4014351,Microtus montebelli
4014352,Clethrionomys glariolus
4014353,Citrus sinensis
4014354,Camptotheca
4014355,Ocimum
4014357,Teucrium thea
4014395,Tsukamurella pulmonis
4014396,Brachyspira innocens
4014397,Brevibacterium otitidis
4014399,Campylobacter rectus
4014400,Campylobacter hyointestinalis ss hyointestinalis
4014401,Helicobacter pullorum
4014402,Clostridium adrichii
4014403,Clostridium aminophilum
4014404,Clostridium neopropinonicum
4014405,Clostridium piliforme
4014406,Clostridium thermoalcaliphilum
4014407,Clostridium thermosuccinogenes
4014492,Urginea capitata
4014550,Acinetobacter variabilis
4014552,Actinobacillus indolicus
4014553,Actinobacillus rosii
4014554,Actinomadura coerulea
4014555,Actinomadura hibisca
4014556,Actinomadura latina
4014557,Actinomadura spadix
4014558,Actinomyces hyovaginalis
4014559,Actinomyces turicensis
4014561,Anaeroplasma intermedium
4014562,Anaerovibrio burkinabensis
4014565,Arthrobacter pascens
4014566,Arthrobacter woluwensis
4014567,Bacillus ehimensis
4014568,Bacillus halodenitrificans
4014569,Bacillus halodurans
4014570,Bacillus infernus
4014571,Bacillus pseudalcaliphilus
4014572,Bacillus sporothermodurans
4014573,Bifidobacterium lactis
4014575,Bifidobacterium pseudolongum ss pseudolongum
4014576,Bifidobacterium ruminatium
4014577,Borrelia garinii
4014663,Borrelia japonica
4014664,Moorella thermoacetica
4014665,Tsukamurella inchonensis
4014666,Campylobacter helveticus
4014667,Campylobacter jejuni ss jejuni
4014668,Campylobacter showae
4014669,Campylobacter gracilis
4014670,Capnocytophaga canimorsus
4014671,Capnocytophaga cynodegmi
4014673,Capnocytophaga haemolytica
4014674,DF-2 Group
4014675,Helicobacter bizzozeroni
4014676,Helicobacter hepaticus
4014677,Helicobacter rodentium
4014678,Chryseobacterium balustinum
4014680,Pedobacter heparinus
4014681,Clostridium grantii
4014683,Clostridium litorale
4014684,Clostridium methylpentosum
4014685,Clostridium paradoxum
4014686,Clostridium pascui
4014687,Clostridium proteolyticum
4014688,Clostridium quinii
4014690,Clostridium thermopapyrolyticum
4014691,Clostridium vincentii
4014692,Corynebacterium afermentans ss afermentans
4014693,Corynebacterium afermentans ss lipophilum
4014695,Desulfotomaculum antarcticum
4014696,Fibrobacter intestinalis
4014697,Fibrobacter succinogenes
4014698,Sebaldella termitidis
4014699,Exiguobacterium acetylicum
